instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
010_C102,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,3,OPTIMAL,312.3361,3,2,2,0,1,0.6667,306.643,0.0,5.6931,120,3.0,2.0,1.0
010_C102,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,5,OPTIMAL,395.5807,3,3,3,0,0,1.0,395.5807,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,6,OPTIMAL,282.0813,3,3,3,0,0,1.0,282.0813,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,7,OPTIMAL,483.943,3,3,3,0,0,1.0,483.943,0.0,0.0,120,3.0,2.0,1.0
010_C102,10,C,3,8,OPTIMAL,314.9676,3,2,2,0,1,0.6667,311.5621,0.0,3.4054,120,3.0,2.0,1.0
010_C102,10,C,3,9,OPTIMAL,288.0388,3,3,3,0,0,1.0,288.0388,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,0,OPTIMAL,70.5946,1,0,0,0,1,0.0,0.0,0.0,70.5946,120,3.0,2.0,1.0
010_C103,10,C,1,1,OPTIMAL,84.6988,1,1,1,0,0,1.0,84.6988,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,2,OPTIMAL,120.5602,1,1,0,1,0,1.0,120.5602,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,3,OPTIMAL,173.0769,1,1,1,0,0,1.0,173.0769,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,4,OPTIMAL,182.7161,1,1,1,0,0,1.0,182.7161,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,5,OPTIMAL,220.6631,1,1,1,0,0,1.0,220.6631,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,6,OPTIMAL,52.2406,1,1,1,0,0,1.0,52.2406,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,7,OPTIMAL,112.4353,1,1,1,0,0,1.0,112.4353,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,8,OPTIMAL,107.0135,1,1,1,0,0,1.0,107.0135,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,1,9,OPTIMAL,96.1336,1,1,1,0,0,1.0,96.1336,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,0,OPTIMAL,363.6949,2,2,1,1,0,1.0,363.6949,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,1,OPTIMAL,346.2182,2,2,2,0,0,1.0,346.2182,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,2,OPTIMAL,225.4031,2,2,2,0,0,1.0,225.4031,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,3,OPTIMAL,192.1583,2,2,2,0,0,1.0,192.1583,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,4,OPTIMAL,288.1591,2,2,2,0,0,1.0,288.1591,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,5,OPTIMAL,158.0253,2,2,2,0,0,1.0,158.0253,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,6,OPTIMAL,332.9053,2,2,2,0,0,1.0,332.9053,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,7,OPTIMAL,181.1736,2,2,2,0,0,1.0,181.1736,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,8,OPTIMAL,176.175,2,2,2,0,0,1.0,176.175,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,2,9,OPTIMAL,368.2711,2,2,2,0,0,1.0,368.2711,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,3,OPTIMAL,370.0185,3,3,3,0,0,1.0,370.0185,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,5,OPTIMAL,395.5807,3,3,3,0,0,1.0,395.5807,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,6,OPTIMAL,282.0813,3,3,3,0,0,1.0,282.0813,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,7,OPTIMAL,483.943,3,3,3,0,0,1.0,483.943,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,8,OPTIMAL,412.1879,3,3,3,0,0,1.0,412.1879,0.0,0.0,120,3.0,2.0,1.0
010_C103,10,C,3,9,OPTIMAL,288.0388,3,3,3,0,0,1.0,288.0388,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,0,OPTIMAL,70.5946,1,0,0,0,1,0.0,0.0,0.0,70.5946,120,3.0,2.0,1.0
010_C104,10,C,1,1,OPTIMAL,84.6988,1,1,1,0,0,1.0,84.6988,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,2,OPTIMAL,120.5602,1,1,0,1,0,1.0,120.5602,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,3,OPTIMAL,173.0769,1,1,1,0,0,1.0,173.0769,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,4,OPTIMAL,182.7161,1,1,1,0,0,1.0,182.7161,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,5,OPTIMAL,220.6631,1,1,1,0,0,1.0,220.6631,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,6,OPTIMAL,52.2406,1,1,1,0,0,1.0,52.2406,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,7,OPTIMAL,112.4353,1,1,1,0,0,1.0,112.4353,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,8,OPTIMAL,107.0135,1,1,1,0,0,1.0,107.0135,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,1,9,OPTIMAL,96.1336,1,1,1,0,0,1.0,96.1336,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,0,OPTIMAL,363.6949,2,2,1,1,0,1.0,363.6949,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,1,OPTIMAL,346.2182,2,2,2,0,0,1.0,346.2182,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,2,OPTIMAL,225.4031,2,2,2,0,0,1.0,225.4031,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,3,OPTIMAL,192.1583,2,2,2,0,0,1.0,192.1583,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,4,OPTIMAL,288.1591,2,2,2,0,0,1.0,288.1591,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,5,OPTIMAL,158.0253,2,2,2,0,0,1.0,158.0253,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,6,OPTIMAL,332.9053,2,2,2,0,0,1.0,332.9053,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,7,OPTIMAL,181.1736,2,2,2,0,0,1.0,181.1736,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,8,OPTIMAL,176.175,2,2,2,0,0,1.0,176.175,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,2,9,OPTIMAL,368.2711,2,2,2,0,0,1.0,368.2711,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,3,OPTIMAL,370.0185,3,3,3,0,0,1.0,370.0185,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,5,OPTIMAL,395.5807,3,3,3,0,0,1.0,395.5807,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,6,OPTIMAL,282.0813,3,3,3,0,0,1.0,282.0813,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,7,OPTIMAL,483.943,3,3,3,0,0,1.0,483.943,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,8,OPTIMAL,412.1879,3,3,3,0,0,1.0,412.1879,0.0,0.0,120,3.0,2.0,1.0
010_C104,10,C,3,9,OPTIMAL,288.0388,3,3,3,0,0,1.0,288.0388,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,1,0,OPTIMAL,6.4458,1,0,0,0,1,0.0,0.0,0.0,6.4458,120,3.0,2.0,1.0
010_C105,10,C,1,1,OPTIMAL,0.0013,1,0,0,0,1,0.0,0.0,0.0,0.0013,120,3.0,2.0,1.0
010_C105,10,C,1,2,OPTIMAL,7.8471,1,0,0,0,1,0.0,0.0,0.0,7.8471,120,3.0,2.0,1.0
010_C105,10,C,1,3,OPTIMAL,32.5475,1,0,0,0,1,0.0,0.0,0.0,32.5475,120,3.0,2.0,1.0
010_C105,10,C,1,4,OPTIMAL,182.7161,1,1,1,0,0,1.0,182.7161,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,1,5,OPTIMAL,220.6631,1,1,1,0,0,1.0,220.6631,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,1,6,OPTIMAL,52.2406,1,1,1,0,0,1.0,52.2406,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,1,7,OPTIMAL,112.4353,1,1,1,0,0,1.0,112.4353,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,1,8,OPTIMAL,5.5276,1,0,0,0,1,0.0,0.0,0.0,5.5276,120,3.0,2.0,1.0
010_C105,10,C,1,9,OPTIMAL,96.1336,1,1,1,0,0,1.0,96.1336,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,0,OPTIMAL,363.6949,2,2,2,0,0,1.0,363.6949,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,1,OPTIMAL,346.2182,2,2,2,0,0,1.0,346.2182,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,2,OPTIMAL,225.4031,2,2,2,0,0,1.0,225.4031,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,3,OPTIMAL,73.9912,2,1,1,0,1,0.5,72.8198,0.0,1.1714,120,3.0,2.0,1.0
010_C105,10,C,2,4,OPTIMAL,189.5103,2,1,1,0,1,0.5,185.9974,0.0,3.5129,120,3.0,2.0,1.0
010_C105,10,C,2,5,OPTIMAL,101.2528,2,1,1,0,1,0.5,95.6219,0.0,5.631,120,3.0,2.0,1.0
010_C105,10,C,2,6,OPTIMAL,332.9053,2,2,2,0,0,1.0,332.9053,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,7,OPTIMAL,61.0061,2,1,1,0,1,0.5,60.9371,0.0,0.069,120,3.0,2.0,1.0
010_C105,10,C,2,8,OPTIMAL,176.175,2,2,2,0,0,1.0,176.175,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,2,9,OPTIMAL,368.2711,2,2,2,0,0,1.0,368.2711,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,3,OPTIMAL,252.1537,3,1,1,0,2,0.3333,246.4086,0.0,5.7451,120,3.0,2.0,1.0
010_C105,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,5,OPTIMAL,395.5807,3,3,3,0,0,1.0,395.5807,0.0,0.0,120,3.0,2.0,1.0
010_C105,10,C,3,6,OPTIMAL,14.3177,3,0,0,0,3,0.0,0.0,0.0,14.3177,120,3.0,2.0,1.0
010_C105,10,C,3,7,OPTIMAL,291.4859,3,2,1,1,1,0.6667,240.5764,0.0,50.9095,120,3.0,2.0,1.0
010_C105,10,C,3,8,OPTIMAL,140.8256,3,1,1,0,2,0.3333,96.9642,0.0,43.8614,120,3.0,2.0,1.0
010_C105,10,C,3,9,OPTIMAL,223.0964,3,2,2,0,1,0.6667,219.5847,0.0,3.5117,120,3.0,2.0,1.0
010_C106,10,C,1,0,OPTIMAL,6.4458,1,0,0,0,1,0.0,0.0,0.0,6.4458,120,3.0,2.0,1.0
010_C106,10,C,1,1,OPTIMAL,0.0013,1,0,0,0,1,0.0,0.0,0.0,0.0013,120,3.0,2.0,1.0
010_C106,10,C,1,2,OPTIMAL,7.8471,1,0,0,0,1,0.0,0.0,0.0,7.8471,120,3.0,2.0,1.0
010_C106,10,C,1,3,OPTIMAL,173.0769,1,1,0,1,0,1.0,173.0769,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,1,4,OPTIMAL,182.7161,1,1,1,0,0,1.0,182.7161,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,1,5,OPTIMAL,220.6631,1,1,1,0,0,1.0,220.6631,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,1,6,OPTIMAL,52.2406,1,1,1,0,0,1.0,52.2406,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,1,7,OPTIMAL,112.4353,1,1,1,0,0,1.0,112.4353,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,1,8,OPTIMAL,11.0552,1,0,0,0,1,0.0,0.0,0.0,11.0552,120,3.0,2.0,1.0
010_C106,10,C,1,9,OPTIMAL,96.1336,1,1,1,0,0,1.0,96.1336,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,0,OPTIMAL,363.6949,2,2,2,0,0,1.0,363.6949,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,1,OPTIMAL,346.2182,2,2,2,0,0,1.0,346.2182,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,2,OPTIMAL,225.4031,2,2,2,0,0,1.0,225.4031,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,3,OPTIMAL,73.9912,2,1,1,0,1,0.5,72.8198,0.0,1.1714,120,3.0,2.0,1.0
010_C106,10,C,2,4,OPTIMAL,288.1591,2,2,2,0,0,1.0,288.1591,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,5,OPTIMAL,112.5148,2,1,1,0,1,0.5,95.6219,0.0,16.8929,120,3.0,2.0,1.0
010_C106,10,C,2,6,OPTIMAL,332.9053,2,2,2,0,0,1.0,332.9053,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,7,OPTIMAL,61.0061,2,1,0,1,1,0.5,60.9371,0.0,0.069,120,3.0,2.0,1.0
010_C106,10,C,2,8,OPTIMAL,176.175,2,2,1,1,0,1.0,176.175,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,2,9,OPTIMAL,368.2711,2,2,2,0,0,1.0,368.2711,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,3,3,OPTIMAL,276.145,3,1,1,0,2,0.3333,246.4086,0.0,29.7364,120,3.0,2.0,1.0
010_C106,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
010_C106,10,C,3,5,OPTIMAL,166.3056,3,2,2,0,1,0.6667,164.6833,0.0,1.6223,120,3.0,2.0,1.0
010_C106,10,C,3,6,OPTIMAL,65.5346,3,1,0,1,2,0.3333,64.1142,0.0,1.4204,120,3.0,2.0,1.0
010_C106,10,C,3,7,OPTIMAL,367.6617,3,2,0,2,1,0.6667,365.7058,0.0,1.9558,120,3.0,2.0,1.0
010_C106,10,C,3,8,OPTIMAL,321.7785,3,2,1,1,1,0.6667,311.5621,0.0,10.2163,120,3.0,2.0,1.0
010_C106,10,C,3,9,OPTIMAL,236.1083,3,2,1,1,1,0.6667,219.5847,0.0,16.5236,120,3.0,2.0,1.0
010_C107,10,C,1,0,OPTIMAL,6.4458,1,0,0,0,1,0.0,0.0,0.0,6.4458,120,3.0,2.0,1.0
010_C107,10,C,1,1,OPTIMAL,0.0013,1,0,0,0,1,0.0,0.0,0.0,0.0013,120,3.0,2.0,1.0
010_C107,10,C,1,2,OPTIMAL,7.8471,1,0,0,0,1,0.0,0.0,0.0,7.8471,120,3.0,2.0,1.0
010_C107,10,C,1,3,OPTIMAL,173.0769,1,1,1,0,0,1.0,173.0769,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,1,4,OPTIMAL,182.7161,1,1,1,0,0,1.0,182.7161,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,1,5,OPTIMAL,220.6631,1,1,1,0,0,1.0,220.6631,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,1,6,OPTIMAL,52.2406,1,1,1,0,0,1.0,52.2406,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,1,7,OPTIMAL,112.4353,1,1,1,0,0,1.0,112.4353,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,1,8,OPTIMAL,1.6558,1,0,0,0,1,0.0,0.0,0.0,1.6558,120,3.0,2.0,1.0
010_C107,10,C,1,9,OPTIMAL,96.1336,1,1,1,0,0,1.0,96.1336,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,2,0,OPTIMAL,173.2413,2,1,1,0,1,0.5,127.598,0.0,45.6433,120,3.0,2.0,1.0
010_C107,10,C,2,1,OPTIMAL,346.2182,2,2,2,0,0,1.0,346.2182,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,2,2,OPTIMAL,225.4031,2,2,2,0,0,1.0,225.4031,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,2,3,OPTIMAL,76.5104,2,1,1,0,1,0.5,72.8198,0.0,3.6907,120,3.0,2.0,1.0
010_C107,10,C,2,4,OPTIMAL,189.5103,2,1,1,0,1,0.5,185.9974,0.0,3.5129,120,3.0,2.0,1.0
010_C107,10,C,2,5,OPTIMAL,101.9912,2,1,1,0,1,0.5,95.6219,0.0,6.3694,120,3.0,2.0,1.0
010_C107,10,C,2,6,OPTIMAL,332.9053,2,2,2,0,0,1.0,332.9053,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,2,7,OPTIMAL,61.0061,2,1,1,0,1,0.5,60.9371,0.0,0.069,120,3.0,2.0,1.0
010_C107,10,C,2,8,OPTIMAL,176.175,2,2,2,0,0,1.0,176.175,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,2,9,OPTIMAL,368.2711,2,2,2,0,0,1.0,368.2711,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,3,0,OPTIMAL,450.9879,3,3,3,0,0,1.0,450.9879,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,3,1,OPTIMAL,395.2162,3,3,3,0,0,1.0,395.2162,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,3,2,OPTIMAL,440.1706,3,3,3,0,0,1.0,440.1706,0.0,0.0,120,3.0,2.0,1.0
010_C107,10,C,3,3,OPTIMAL,309.8361,3,2,2,0,1,0.6667,309.7841,0.0,0.052,120,3.0,2.0,1.0
010_C107,10,C,3,4,OPTIMAL,313.8345,3,3,3,0,0,1.0,313.8345,0.0,0.0,120,3.0,2.0,1.0
